,bara / bada
0,Bessha
1,bhuski maagi
2,Bichi Chara Potla
3,Bodmash
4,Boga
5,boga baicha tor mar boonie sirilymu
6,Boga Khaa
7,boka choda
8,bokachoda
9,Booni
10,botla
11,chodna
12,Chodon Boiraagi
13,Chodon Idli
14,chood
15,chudir bhai
16,Chudir Bhai
17,Chudir Pola
18,dan-da
19,dhon
20,dofla hetta
21,fatly
22,Fel
23,foga
24,"foon, foondh"
25,fungi
26,Futki
27,fuun-ga
28,gorur bachcha
29,gud
30,gud maranir beta
31,gud/guud
32,Guundaa
33,Haram jada
34,haram jadi
35,Hauwa
36,hetta muka ath bori dimo
37,"hetta, bodha, shauwaa"
38,"Kalu, Calou, Kalou,Blackie, Keltu, Kelo, Kolo Toure, Djimi Traore, Kalo Hulo, Nigga"
39,khanki
40,khanki chudi magir gude poka
41,khanki/maggi
42,khankir chele
43,Khankir Pola
44,khobis or goror khobis
45,Kuth-tar Bachcha
46,Kuthar Bacha
47,Kuththar Baiccha (Baich-cha)
48,Kuttar Bhaccha
49,kuttar chod
50,Kuttar gu
51,laora
52,lerr
53,lerr kawrar fua
54,Maagi
55,Maal
56,maggir putt
57,Moga choder bacha
58,mother chod
59,Muta kuta
60,nankta kuttar baccha
61,Nunu
62,nunu
63,pagol sagol
64,Pagul
65,pasa
66,podmarani
67,Sagul
68,Shauwa
69,shuorer baccha
70,Shurur Batcha
71,Suda-sudi
72,SUDAURIER FURII
73,SUDAURY
74,Suourer bachcha
75,SUTHH-MAROUNY
76,thor hetta laythum
77,thor maa suda
78,thor maar bothoy kha
79,thore astha gao eh sudeh
80,thumar futki marthum
81,"Thumi amar nunu khoa, onek mishti"
82,Thuuii Bandhorr
83,Thuuii Gaadhaa
84,to-mar ma hetta
85,Tor baaf fel Khai
86,Tor Bafor Boga Saat
87,tor ma amar fell
88,tor ma boga cha
89,Tor Maa
90,tor maa booni nay
91,tor maa ke chudi
92,Tor mayere chudi
93,Tor nanire chudi
94,tor nunu bouut boro
95,Tor pasha mota
96,tu ekta bandar
97,Tur booga sooto
98,tur mar booni khaa
99,tuy ath marros
100,Vogchod
101,Bain Chod
102,Bainchod
103,Bassa Shouko
104,chodnar po
105,Gud-marani
106,hagoo
107,Hijra
108,Hoga
109,Khankir pola
110,Kuthaar Baicha
111,Kuttar Bachcha
112,kuttar bachcha
113,Leura
114,Magi
115,Mai
116,makhal
117,muri kha
118,Noakhailla
119,randi magi
120,thor maa khai lai moo
121,thor maar bosoi khai see
122,Tomar maar putkey fatamu .
123,Tor babar bichi fatabo
124,Tor mar sawa kha
125,tor mare chudi
126,tur ma amar fel be
127,Aanguli kora
128,achuda
129,ads
130,Ami tor maa ke chudmu
131,baal
132,Baal chhero
133,Bara
134,Beissha Magir Pola
135,Bhag
136,Bhoda
137,Bokachoda
138,boltu chire felbo
139,botoi khowra
140,Choda
141,Chood
142,Chudanir pola
143,Chudi
144,Chudmu tor pasai sneha
145,Chumban
146,Chumu
147,Dhon
148,Dhon khecha
149,Gaand Maarano
150,Gud
151,Humaira
152,Khanki
153,khanki Magi
154,khankir pola
155,kuttar Baccha
156,lehr kawrar bachha
157,Mang
158,Naang
159,pod marani
160,Pond
161,Shetar bal
162,Shishna
163,Sohail
164,Thor heta muka ath boridimu
165,Tor Gaar Maari
166,Tor maa ke chudi
167,tor mar vhoda
168,tumi bal hagu koro!!
169,Vuuski magi
170,Aar
171,bahanchod
172,baila
173,baklol
174,bapjeth
175,bawaseer ho kya
176,bhadwa
177,bhethi
178,bhosda
179,bhosri wali
180,boor
181,Boor ka baal
182,burbak
183,chhinar
184,chhota chetan
185,chuchi
186,chutmuha
187,dogla
188,gaar marao
189,gaar maraye duniya
190,gaar me daal le
191,gadchat
192,gopal gaurav
193,jhatwa
194,kiski maiyaa kutta biyayi
195,laar
196,laar chato
197,laar lega
198,larchat
199,maa chudao
200,muth
201,randi ka bachha
202,randikhana
203,ravi kumar patel
204,tori bahin ke chodu
205,tori maiyaa ke chodu
206,maari tatoori ne chalay
207,Akbaruddin Owaisi
208,Alloo Bhosri Chaat
209,Anuj
210,Babhuchak
211,bai no bhosdo
212,bein chod
213,Benchod
214,Bhadvo
215,bhenchod
216,Bhoot
217,Bhopa
218,Bhos marina
219,Bhosad Pappu
220,bhosdo
221,bhosrini
222,bobla
223,Bobla Vagarni Baydi
224,Bosrichord
225,bosrina
226,Buckwass
227,Budhalal
228,chafu gaan
229,Chichi
230,Chod
231,Chod ami
232,Chodhru
233,chodkanya
234,Chodu
235,chupri lauri
236,Chutiya
237,Darshil
238,Dheela Lund Ni Olaad
239,Eapen
240,Fattu
241,gaan tari
242,Gaand Ghapli
243,Gaand Ma Ghal
244,"gaandina, gandina"
245,Gand nu kaanu
246,gandi chodina
247,gando
248,Gando salo
249,gel ghagharina
250,Ghel Chodyo
251,Ghelchoydi
252,Halki Raand na
253,Harsh Dalal
254,harshit
255,hopa
256,Huzefa
257,jaaro
258,Jhadhino!
259,Jignesh Mevani
260,karo loro
261,kem chho
262,kutari
263,Lakhota
264,Land
265,loda
266,lodde mari
267,Lowroh
268,luli
269,Lund Bhagat
270,Maa ne ghat bhosdina
271,maajaddha
272,maari tatoori ooper bess
273,maasi chodamno
274,Madachod
275,madachod
276,mandi susee
277,Manik
278,mara man no lado
279,mari bhosri chaat
280,meri gaan chatt
281,Mohit
282,Moht
283,mota jijah
284,nago choido
285,Nakhodiya
286,Namuno
287,Narender Modi
288,pikina
289,Pikina
290,pim pim
291,poom poom
292,Priyanshu
293,puchi chod
294,Puti
295,raand
296,rumana
297,sali
298,salu gut`ti
299,Sandas
300,suwwar jewu dachu
301,taari bai no aghano
302,Taari ma parasevo tya-reh e tuti kareh che!
303,Tara baap ni gaan
304,Taree gaar ma lowroh
305,Taree Ghaar Ma Doh Ladah
306,tari bosri kaapi karwa
307,tari dagri
308,tari gaand mare karya kutra balada
309,tari gandayli kari koyli dagri
310,Tari ma na bubla sukai-gya
311,tari ma ne hadi kadhto hathi chode
312,tari ma ni putti
313,tari ma no poplo
314,Tari maa na babla chusu
315,Tari maa na bhosda ma maro lodo
316,Tari maa na modha ma maro lodo
317,Tari maa ne chodu
318,Tari maa ni taturi
319,tari mai ni gand
320,tari mani choot ma derka bole
321,Taro baap tane chadeche
322,tere ma nu hinta kar
323,teree maah gaderi
324,thari ma ne bozro maro loro nakhides
325,Thari Ma Ni Ghaan
326,Tusat
327,Tutelli nirodh no aulad
328,bahan ke lawde
329,Bawali gand
330,Bhen ke dine
331,chudhu ke chodde
332,Dhi ke lawde
333,Dhichod
334,Domesaks danso danlo motar!
335,bhoor
336,chuttar
337,chuttari
338,gand chod
339,Ghunt Fala
340,Jhulaniya
341,Madhar chod
342,shivom lal
343,teri maichod
344,miya ka katela lund
345,miyan
346,miyan bhadvi
347,miyan rand
348,miye log madharchod
349,chut
350,chut ke baal
351,chut ke dhakkan
352,chut maarli
353,chutad
354,chutadd
355,chutan
356,chutia
357,chutiya
358,gaand
359,gaandfat
360,gaandmasti
361,gaandufad
362,gandu
363,gashti
364,gasti
365,ghassa
366,ghasti
367,harami
368,haramzade
369,hawas
370,hawas ke pujari
371,hijda
372,hijra
373,jhant
374,jhant chaatu
375,jhant ke baal
376,jhantu
377,kamine
378,kaminey
379,kanjar
380,kutta
381,kutta kamina
382,kutte ki aulad
383,kutte ki jat
384,kuttiya
386,lodu
387,lund
388,lund choos
389,lund khajoor
390,lundtopi
391,lundure
392,maa ki chut
393,maal
394,madar chod
395,mooh mein le
396,mutth
397,najayaz
398,najayaz aulaad
399,najayaz paidaish
400,paki
401,pataka
402,patakha
404,randi
405,saala
406,saala kutta
407,saali kutti
408,saali randi
409,suar
410,suar ki aulad
411,tatte
412,tatti
413,teri maa ka bhosada
414,teri maa ka boba chusu
415,teri maa ki chut
416,tharak
417,tharki
418,bsdk
419,mc
421,hutiye
422,chakka
423,randwe
424,randve
425,chutiye
426,madarjaat
427,lomda
428,chumtiya
429,chumtiye
430,chus
431,tatto
432,goti
433,gotiya
434,gand
435,chuut
436,chodya
437,ke chode
438,chode
439,chodyu
440,boba
442,fakir
443,Jaan var
444,Kutta
445,Kuttiya
446,Khota
447,Khotey ki aulad
448,Kutte ki jat
449,Najayaz
450,Najayaz paidaish
451,Saala kutta
452,Saali kutti
453,Soover
454,Tatti
455,Hindi Swear Words
456,Bahen Chod
457,Bahen ke laude
458,Bahen ke takke
459,Beti Chod
460,Bhai Chod
461,Bhains ki aulad
462,"Jhalla, Faggot"
463,Jhant ke baal
464,Jhaant ke pissu
465,Kutte ka aulad
466,Kutte ke tatte
467,Maadher chod
468,Padma
469,Raand ka jamai
470,Randhwa (or randwa)
471,Rundi
472,Rundi ka bacha
473,Rundi Ki bachi
474,Soower ke bachche
475,Ullu ke pathe
476,Hindi Dirty Words
477,Bandaa
478,Booblay
479,BhonsRi-Waalaa
480,Carrom board
481,Chhed
482,Chut
483,Chut marike
485,Chodra
486,Choochii
487,Gaandu
488,Gaand
489,Ing ge pan di kut teh
490,LavDa
491,Lavde
492,Lund 
493,Lavde ke bal
